ID;Раздел;Вопрос;Ответ;Комментарий
1;1. Общие цели и бизнес-логика;Какова главная цель сайта? (Продажа персональных тренировок, набор учеников на онлайн-ведение, продажа марафонов/гайдов, личный бренд/имидж, сбор контактов для рассылки?);На онлайн ведение;
2;1. Общие цели и бизнес-логика;Какое целевое действие (CTA) должен совершить пользователь? (Оставить заявку, написать в WhatsApp, купить тариф, записаться на пробное занятие, подписаться на соцсети?);написать в WhatsApp, записаться на пробное занятие;
;;;;
4;1. Общие цели и бизнес-логика;Какой географический охват? (Только ваш город/зал, вся страна, международный онлайн?);вся страна;
;;;;
6;2. Целевая аудитория (Портрет клиента);Кто ваш идеальный клиент? (Пол, возраст, уровень дохода, образ жизни. Например: 'Женщины 25-35 лет, офисные работники, хотят похудеть после родов'.);женщины, 30+, доход средний, офисные работники;
7;2. Целевая аудитория (Портрет клиента);Какие у них 'боли' и страхи? (Боятся травм, стесняются зала, нет времени, не умеют считать калории, был негативный опыт с тренерами?);нет времени, нет опыта тренировок;
8;2. Целевая аудитория (Портрет клиента);Что для них является решающим фактором при выборе? (Цена, личность тренера, гарантия результата, удобство расположения, отзывы?);удобство расположения, гарантия результата, личность тренера;
9;2. Целевая аудитория (Портрет клиента);С каких устройств они будут заходить чаще? (Приоритет на мобильные телефоны (Instagram/TikTok трафик) или на десктоп?);мобильные телефоны;
10;3. Структура сайта и навигация;Какой тип сайта вам нужен? (Одностраничный Landing Page, многостраничный сайт, сайт-визитка?);одностраничный landing;
11;3. Структура сайта и навигация;Какая структура меню вам предпочтительна? (Фиксированная шапка, скрытое меню-бургер, якорные ссылки на одной странице?);фикс шапка, бургер на мобильных;
12;3. Структура сайта и навигация;Нужна ли карта сайта? (Главная, Обо мне, Услуги, Отзывы, Блог, Контакты, Политика конфиденциальности?);нужна;
13;3. Структура сайта и навигация;Как должна выглядеть 'Подвал' (Footer)? (Минималистичный копирайт или подробная информация с ссылками на документы и соцсети?);минимализм;
14;3. Структура сайта и навигация;Нужна ли хлебная крошка (навигационная цепочка)? (Актуально для многостраничных сайтов).;нет;
15;3. Структура сайта и навигация;Нужна ли страница '404' (Страница не найдена) и какой она должна быть? (Строгая или креативная/смешная?);нет;
16;4. Визуальный дизайн и стиль (UI);Какая цветовая схема предпочтительна? (Темная тема, светлая тема, контрастная/неоновая, пастельная/мягкая?);светлая;
17;4. Визуальный дизайн и стиль (UI);Есть ли цвета, которые категорически нельзя использовать? (Ассоциации с конкурентами или личные предпочтения).;нет;
18;4. Визуальный дизайн и стиль (UI);Какой стиль дизайна вам ближе? (Минимализм, брутальный/спортивный, премиальный/люксовый, дружелюбный/лайфстайл, технологичный?);дружелюбный минимализм;
19;4. Визуальный дизайн и стиль (UI);Какая типографика нравится? (Грубые рубленые шрифты без засечек, классические шрифты с засечками, рукописные акценты?);любые;
20;4. Визуальный дизайн и стиль (UI);Нужны ли анимации и микро-взаимодействия? (Плавное появление блоков, параллакс-эффект, анимация кнопок при наведении, сложная графика или строгая статика?);анимация кнопок и паралакс;
